index,time,kernel,dimension,blocksize,operation
0,3.87385,44100,26880,128,launch
1,3.88868,44100,26880,128,launch
2,3.89744,44100,26880,128,launch
3,3.90498,44100,26880,128,launch
4,3.91072,44100,26880,128,launch
5,3.91728,44100,26880,128,launch
6,3.921,44100,26880,128,launch
7,3.92639,44100,26880,128,launch
8,3.93038,44100,26880,128,launch
9,3.93502,44100,26880,128,launch
10,3.93778,44100,26880,128,launch
11,3.94049,44100,26880,128,launch
12,3.94205,44100,26880,128,launch
13,3.94551,44100,26880,128,launch
14,3.94774,44100,26880,128,launch
15,3.95072,44100,26880,128,launch
16,3.95136,44100,26880,128,launch
17,3.9547,44100,26880,128,launch
18,3.9553,44100,26880,128,launch
19,3.95679,44100,26880,128,launch
20,3.94815,44100,26880,128,launch
21,3.95683,44100,26880,128,launch
22,3.95917,44100,26880,128,launch
23,3.9585,44100,26880,128,launch
24,3.95977,44100,26880,128,launch
25,3.96112,44100,26880,128,launch
26,3.96053,44100,26880,128,launch
27,3.96046,44100,26880,128,launch
28,3.9619,44100,26880,128,launch
29,3.96159,44100,26880,128,launch
30,3.96196,44100,26880,128,launch
31,3.96135,44100,26880,128,launch
32,3.96154,44100,26880,128,launch
33,3.96176,44100,26880,128,launch
34,3.95986,44100,26880,128,launch
35,3.96147,44100,26880,128,launch
36,3.9593,44100,26880,128,launch
37,3.95975,44100,26880,128,launch
38,3.95954,44100,26880,128,launch
39,3.9588,44100,26880,128,launch
40,3.94675,44100,26880,128,launch
41,3.95454,44100,26880,128,launch
42,3.95391,44100,26880,128,launch
43,3.95306,44100,26880,128,launch
44,3.95408,44100,26880,128,launch
45,3.95582,44100,26880,128,launch
46,3.9535,44100,26880,128,launch
47,3.95326,44100,26880,128,launch
48,3.95413,44100,26880,128,launch
49,3.95325,44100,26880,128,launch
50,3.95261,44100,26880,128,launch
51,3.9532,44100,26880,128,launch
52,3.95148,44100,26880,128,launch
53,3.95286,44100,26880,128,launch
54,3.95304,44100,26880,128,launch
55,3.95063,44100,26880,128,launch
56,3.95238,44100,26880,128,launch
57,3.95182,44100,26880,128,launch
58,3.95189,44100,26880,128,launch
59,3.9497,44100,26880,128,launch
60,3.94395,44100,26880,128,launch
61,3.94663,44100,26880,128,launch
62,3.94722,44100,26880,128,launch
63,3.94791,44100,26880,128,launch
64,3.95105,44100,26880,128,launch
65,3.94719,44100,26880,128,launch
66,3.94912,44100,26880,128,launch
67,3.94832,44100,26880,128,launch
68,3.95003,44100,26880,128,launch
69,3.94892,44100,26880,128,launch
70,3.94949,44100,26880,128,launch
71,3.94862,44100,26880,128,launch
72,3.94954,44100,26880,128,launch
73,3.94997,44100,26880,128,launch
74,3.95002,44100,26880,128,launch
75,3.94949,44100,26880,128,launch
76,3.94957,44100,26880,128,launch
77,3.9497,44100,26880,128,launch
78,3.94939,44100,26880,128,launch
79,3.95025,44100,26880,128,launch
