This is the Log File of datestart Time 2022-04-11 08:18:41
----- run GEMM 1280 x 1280, BS=64
Elapsed time for execution without CUDA graph:0.007479 (s)
Elapsed time for execution without CUDA graph:0.007306 (s)
Elapsed time for execution without CUDA graph:0.007311 (s)
Elapsed time for execution without CUDA graph:0.007310 (s)
Elapsed time for execution without CUDA graph:0.007313 (s)
Elapsed time for execution without CUDA graph:0.007314 (s)
Elapsed time for execution without CUDA graph:0.007318 (s)
Elapsed time for execution without CUDA graph:0.007316 (s)
Elapsed time for execution without CUDA graph:0.007314 (s)
Elapsed time for execution without CUDA graph:0.007319 (s)
Elapsed time for execution without CUDA graph:0.007319 (s)
Elapsed time for execution without CUDA graph:0.007316 (s)
Elapsed time for execution without CUDA graph:0.007319 (s)
Elapsed time for execution without CUDA graph:0.007317 (s)
Elapsed time for execution without CUDA graph:0.007317 (s)
Elapsed time for execution without CUDA graph:0.007312 (s)
Elapsed time for execution without CUDA graph:0.007316 (s)
Elapsed time for execution without CUDA graph:0.007318 (s)
Elapsed time for execution without CUDA graph:0.007318 (s)
Elapsed time for execution without CUDA graph:0.007319 (s)
Elapsed time for execution without CUDA graph:0.007314 (s)
Elapsed time for execution without CUDA graph:0.007317 (s)
Elapsed time for execution without CUDA graph:0.007311 (s)
Elapsed time for execution without CUDA graph:0.007316 (s)
Elapsed time for execution without CUDA graph:0.007314 (s)
Elapsed time for execution without CUDA graph:0.007316 (s)
Elapsed time for execution without CUDA graph:0.007316 (s)
Elapsed time for execution without CUDA graph:0.007316 (s)
Elapsed time for execution without CUDA graph:0.007313 (s)
Elapsed time for execution without CUDA graph:0.007315 (s)
Elapsed time for execution without CUDA graph:0.007314 (s)
Elapsed time for execution without CUDA graph:0.007149 (s)
Elapsed time for execution without CUDA graph:0.004725 (s)
Elapsed time for execution without CUDA graph:0.004717 (s)
Elapsed time for execution without CUDA graph:0.004716 (s)
Elapsed time for execution without CUDA graph:0.004718 (s)
Elapsed time for execution without CUDA graph:0.004718 (s)
Elapsed time for execution without CUDA graph:0.004722 (s)
Elapsed time for execution without CUDA graph:0.004719 (s)
Elapsed time for execution without CUDA graph:0.004722 (s)
Elapsed time for execution without CUDA graph:0.004714 (s)
Elapsed time for execution without CUDA graph:0.004721 (s)
Elapsed time for execution without CUDA graph:0.004729 (s)
Elapsed time for execution without CUDA graph:0.004722 (s)
Elapsed time for execution without CUDA graph:0.004725 (s)
Elapsed time for execution without CUDA graph:0.004715 (s)
Elapsed time for execution without CUDA graph:0.004721 (s)
Elapsed time for execution without CUDA graph:0.004717 (s)
Elapsed time for execution without CUDA graph:0.004717 (s)
Elapsed time for execution without CUDA graph:0.004713 (s)
Elapsed time for execution without CUDA graph:0.004727 (s)
