index,time,kernel,dimension,blocksize,operation
0,0.00217035,625,32000,1280,instantiation
0,0.00493069,625,32000,1280,capture
0,0.0157483,2500,32000,640,instantiation
0,0.0199807,2500,32000,640,capture
0,0.0746196,10000,32000,320,instantiation
0,0.0926658,10000,32000,320,capture
0,0.122915,15625,32000,256,instantiation
0,0.145848,15625,32000,256,capture
0,0.530579,62500,32000,128,capture
0,0.779938,62500,32000,128,instantiation
0,2.11626,250000,32000,64,capture
0,3.95645,625,32000,1280,launch
0,4.43737,2500,32000,640,launch
0,5.56044,15625,32000,256,launch
0,5.72441,10000,32000,320,launch
0,6.37438,62500,32000,128,launch
1,0.00383696,625,32000,1280,instantiation
1,0.00467803,625,32000,1280,capture
1,0.0160696,2500,32000,640,instantiation
1,0.0202007,2500,32000,640,capture
1,0.0762327,10000,32000,320,instantiation
1,0.0935439,10000,32000,320,capture
1,0.123463,15625,32000,256,instantiation
1,0.147301,15625,32000,256,capture
1,0.533117,62500,32000,128,capture
1,0.859156,62500,32000,128,instantiation
1,3.97237,625,32000,1280,launch
1,4.46269,2500,32000,640,launch
1,5.58713,15625,32000,256,launch
1,5.75877,10000,32000,320,launch
1,6.34815,62500,32000,128,launch
2,0.00312336,625,32000,1280,instantiation
2,0.00515934,625,32000,1280,capture
2,0.0170543,2500,32000,640,instantiation
2,0.0202048,2500,32000,640,capture
2,0.0758195,10000,32000,320,instantiation
2,0.0936191,10000,32000,320,capture
2,0.123545,15625,32000,256,instantiation
2,0.14729,15625,32000,256,capture
2,0.531771,62500,32000,128,capture
2,3.98378,625,32000,1280,launch
2,4.4759,2500,32000,640,launch
2,5.60162,15625,32000,256,launch
2,5.77519,10000,32000,320,launch
2,6.36808,62500,32000,128,launch
3,0.00430175,625,32000,1280,instantiation
3,0.00511958,625,32000,1280,capture
3,0.0161422,2500,32000,640,instantiation
3,0.0202527,2500,32000,640,capture
3,0.075995,10000,32000,320,instantiation
3,0.0933334,10000,32000,320,capture
3,0.122684,15625,32000,256,instantiation
3,0.147314,15625,32000,256,capture
3,3.99292,625,32000,1280,launch
3,4.48534,2500,32000,640,launch
3,5.6165,15625,32000,256,launch
3,5.79218,10000,32000,320,launch
3,6.38769,62500,32000,128,launch
4,0.0042785,625,32000,1280,instantiation
4,0.00525384,625,32000,1280,capture
4,0.0172583,2500,32000,640,instantiation
4,0.0201749,2500,32000,640,capture
4,0.0750485,10000,32000,320,instantiation
4,0.093356,10000,32000,320,capture
4,0.123478,15625,32000,256,instantiation
4,0.1474,15625,32000,256,capture
4,3.99903,625,32000,1280,launch
4,4.49762,2500,32000,640,launch
4,5.62887,15625,32000,256,launch
4,5.80583,10000,32000,320,launch
4,6.40764,62500,32000,128,launch
5,0.00313098,625,32000,1280,instantiation
5,0.00518861,625,32000,1280,capture
5,0.0161733,2500,32000,640,instantiation
5,0.0201315,2500,32000,640,capture
5,0.0764812,10000,32000,320,instantiation
5,0.093281,10000,32000,320,capture
5,0.124076,15625,32000,256,instantiation
5,0.146902,15625,32000,256,capture
5,4.00884,625,32000,1280,launch
5,4.50552,2500,32000,640,launch
5,5.6429,15625,32000,256,launch
5,5.81687,10000,32000,320,launch
5,6.42124,62500,32000,128,launch
6,0.00438007,625,32000,1280,instantiation
6,0.00517269,625,32000,1280,capture
6,0.0170336,2500,32000,640,instantiation
6,0.0201897,2500,32000,640,capture
6,0.0771969,10000,32000,320,instantiation
6,0.0937349,10000,32000,320,capture
6,0.122447,15625,32000,256,instantiation
6,0.146989,15625,32000,256,capture
6,4.01445,625,32000,1280,launch
6,4.51766,2500,32000,640,launch
6,5.65094,15625,32000,256,launch
6,5.82495,10000,32000,320,launch
6,6.4344,62500,32000,128,launch
7,0.00428355,625,32000,1280,instantiation
