index,time,kernel,dimension,blocksize,operation
0,0.00559674,729,34560,1280,capture
1,0.00602309,729,34560,1280,capture
2,0.00607764,729,34560,1280,capture
3,0.0060343,729,34560,1280,capture
4,0.00601207,729,34560,1280,capture
5,0.00599351,729,34560,1280,capture
6,0.00600026,729,34560,1280,capture
7,0.00605858,729,34560,1280,capture
8,0.00607161,729,34560,1280,capture
9,0.00603164,729,34560,1280,capture
index,time,kernel,dimension,blocksize,operation
0,0.00342073,729,34560,1280,instantiation
1,0.00478895,729,34560,1280,instantiation
2,0.00476788,729,34560,1280,instantiation
3,0.00365638,729,34560,1280,instantiation
4,0.00485472,729,34560,1280,instantiation
5,0.00476006,729,34560,1280,instantiation
6,0.00485379,729,34560,1280,instantiation
7,0.0036479,729,34560,1280,instantiation
8,0.00493118,729,34560,1280,instantiation
9,0.00481756,729,34560,1280,instantiation
index,time,kernel,dimension,blocksize,operation
0,4.99695,729,34560,1280,launch
1,5.02028,729,34560,1280,launch
2,5.03669,729,34560,1280,launch
3,5.05208,729,34560,1280,launch
4,5.06415,729,34560,1280,launch
5,5.07459,729,34560,1280,launch
6,5.08453,729,34560,1280,launch
7,5.0957,729,34560,1280,launch
8,5.09989,729,34560,1280,launch
9,5.1076,729,34560,1280,launch
10,5.11535,729,34560,1280,launch
11,5.11774,729,34560,1280,launch
12,5.12323,729,34560,1280,launch
13,5.12871,729,34560,1280,launch
14,5.1308,729,34560,1280,launch
15,5.1357,729,34560,1280,launch
16,5.13567,729,34560,1280,launch
17,5.13978,729,34560,1280,launch
18,5.14124,729,34560,1280,launch
19,5.14157,729,34560,1280,launch
20,5.14229,729,34560,1280,launch
21,5.14351,729,34560,1280,launch
22,5.14556,729,34560,1280,launch
23,5.14455,729,34560,1280,launch
24,5.14301,729,34560,1280,launch
25,5.14468,729,34560,1280,launch
26,5.14426,729,34560,1280,launch
27,5.14376,729,34560,1280,launch
28,5.14286,729,34560,1280,launch
29,5.14301,729,34560,1280,launch
30,5.14496,729,34560,1280,launch
31,5.1408,729,34560,1280,launch
32,5.14178,729,34560,1280,launch
33,5.14095,729,34560,1280,launch
34,5.13662,729,34560,1280,launch
35,5.13686,729,34560,1280,launch
36,5.13805,729,34560,1280,launch
37,5.13719,729,34560,1280,launch
38,5.13546,729,34560,1280,launch
39,5.13445,729,34560,1280,launch
40,5.13119,729,34560,1280,launch
41,5.13254,729,34560,1280,launch
42,5.13586,729,34560,1280,launch
43,5.13324,729,34560,1280,launch
44,5.13104,729,34560,1280,launch
45,5.13119,729,34560,1280,launch
46,5.13204,729,34560,1280,launch
47,5.13091,729,34560,1280,launch
48,5.1316,729,34560,1280,launch
49,5.12657,729,34560,1280,launch
50,5.13001,729,34560,1280,launch
51,5.12827,729,34560,1280,launch
52,5.12683,729,34560,1280,launch
53,5.12674,729,34560,1280,launch
54,5.12751,729,34560,1280,launch
55,5.12698,729,34560,1280,launch
56,5.12354,729,34560,1280,launch
57,5.12186,729,34560,1280,launch
58,5.12377,729,34560,1280,launch
59,5.12542,729,34560,1280,launch
60,5.12308,729,34560,1280,launch
61,5.12372,729,34560,1280,launch
62,5.12148,729,34560,1280,launch
63,5.12258,729,34560,1280,launch
64,5.12298,729,34560,1280,launch
65,5.12045,729,34560,1280,launch
66,5.12396,729,34560,1280,launch
67,5.12239,729,34560,1280,launch
68,5.12557,729,34560,1280,launch
69,5.12197,729,34560,1280,launch
70,5.12461,729,34560,1280,launch
71,5.12197,729,34560,1280,launch
72,5.12259,729,34560,1280,launch
73,5.12458,729,34560,1280,launch
74,5.12203,729,34560,1280,launch
75,5.1202,729,34560,1280,launch
76,5.12305,729,34560,1280,launch
77,5.12166,729,34560,1280,launch
78,5.12212,729,34560,1280,launch
79,5.12279,729,34560,1280,launch
80,5.12206,729,34560,1280,launch
81,5.12234,729,34560,1280,launch
82,5.12248,729,34560,1280,launch
83,5.12517,729,34560,1280,launch
84,5.12381,729,34560,1280,launch
85,5.12341,729,34560,1280,launch
86,5.12217,729,34560,1280,launch
87,5.12077,729,34560,1280,launch
88,5.121,729,34560,1280,launch
89,5.12317,729,34560,1280,launch
90,5.12364,729,34560,1280,launch
91,5.12106,729,34560,1280,launch
92,5.12094,729,34560,1280,launch
93,5.12255,729,34560,1280,launch
94,5.12332,729,34560,1280,launch
95,5.12189,729,34560,1280,launch
96,5.12125,729,34560,1280,launch
97,5.12118,729,34560,1280,launch
