index,time,kernel,dimension,blocksize
0,0.355818,8100,11520,128
1,0.358605,8100,11520,128
2,0.362463,8100,11520,128
3,0.360147,8100,11520,128
4,0.3586,8100,11520,128
5,0.363351,8100,11520,128
6,0.360341,8100,11520,128
7,0.360252,8100,11520,128
8,0.363233,8100,11520,128
9,0.359494,8100,11520,128
10,0.362385,8100,11520,128
11,0.362092,8100,11520,128
12,0.359657,8100,11520,128
13,0.363673,8100,11520,128
14,0.361145,8100,11520,128
15,0.361678,8100,11520,128
16,0.361248,8100,11520,128
17,0.362118,8100,11520,128
18,0.363101,8100,11520,128
19,0.36157,8100,11520,128
20,0.361032,8100,11520,128
21,0.363269,8100,11520,128
22,0.361974,8100,11520,128
23,0.361512,8100,11520,128
24,0.362108,8100,11520,128
25,0.362401,8100,11520,128
26,0.361544,8100,11520,128
27,0.361646,8100,11520,128
28,0.36288,8100,11520,128
29,0.361556,8100,11520,128
30,0.362612,8100,11520,128
31,0.362183,8100,11520,128
32,0.361548,8100,11520,128
33,0.362803,8100,11520,128
34,0.361538,8100,11520,128
35,0.361466,8100,11520,128
36,0.363216,8100,11520,128
37,0.361526,8100,11520,128
38,0.362578,8100,11520,128
39,0.362326,8100,11520,128
40,0.361488,8100,11520,128
41,0.363542,8100,11520,128
42,0.36155,8100,11520,128
43,0.361497,8100,11520,128
44,0.363918,8100,11520,128
45,0.362001,8100,11520,128
46,0.361471,8100,11520,128
47,0.364221,8100,11520,128
48,0.361519,8100,11520,128
49,0.362248,8100,11520,128
50,0.362839,8100,11520,128
51,0.361537,8100,11520,128
52,0.363703,8100,11520,128
53,0.362587,8100,11520,128
54,0.361595,8100,11520,128
55,0.363626,8100,11520,128
56,0.363387,8100,11520,128
57,0.361574,8100,11520,128
58,0.363601,8100,11520,128
59,0.362572,8100,11520,128
60,0.362376,8100,11520,128
61,0.362776,8100,11520,128
62,0.363229,8100,11520,128
63,0.362558,8100,11520,128
64,0.363017,8100,11520,128
65,0.362902,8100,11520,128
66,0.361499,8100,11520,128
67,0.364038,8100,11520,128
68,0.363165,8100,11520,128
69,0.361492,8100,11520,128
70,0.36423,8100,11520,128
71,0.36312,8100,11520,128
72,0.361498,8100,11520,128
73,0.36358,8100,11520,128
74,0.363683,8100,11520,128
75,0.361863,8100,11520,128
76,0.363889,8100,11520,128
77,0.361872,8100,11520,128
78,0.363824,8100,11520,128
79,0.363123,8100,11520,128
80,0.361846,8100,11520,128
81,0.363822,8100,11520,128
82,0.363239,8100,11520,128
83,0.362379,8100,11520,128
84,0.363604,8100,11520,128
85,0.363276,8100,11520,128
86,0.362648,8100,11520,128
87,0.362597,8100,11520,128
88,0.363382,8100,11520,128
89,0.363432,8100,11520,128
90,0.362925,8100,11520,128
91,0.36312,8100,11520,128
92,0.362718,8100,11520,128
93,0.36397,8100,11520,128
94,0.362058,8100,11520,128
95,0.363042,8100,11520,128
96,0.364243,8100,11520,128
97,0.362189,8100,11520,128
98,0.363148,8100,11520,128
99,0.363982,8100,11520,128
100,0.36166,8100,11520,128
101,0.364212,8100,11520,128
102,0.363691,8100,11520,128
103,0.361918,8100,11520,128
104,0.363719,8100,11520,128
105,0.363767,8100,11520,128
106,0.36299,8100,11520,128
107,0.363636,8100,11520,128
108,0.362283,8100,11520,128
109,0.363841,8100,11520,128
110,0.364488,8100,11520,128
111,0.361473,8100,11520,128
112,0.363963,8100,11520,128
113,0.363882,8100,11520,128
114,0.361988,8100,11520,128
115,0.364734,8100,11520,128
116,0.362388,8100,11520,128
117,0.363723,8100,11520,128
118,0.363762,8100,11520,128
119,0.362464,8100,11520,128
120,0.363803,8100,11520,128
121,0.363455,8100,11520,128
122,0.363275,8100,11520,128
123,0.363349,8100,11520,128
124,0.363692,8100,11520,128
125,0.364304,8100,11520,128
126,0.362251,8100,11520,128
127,0.364107,8100,11520,128
128,0.363696,8100,11520,128
129,0.362311,8100,11520,128
130,0.363971,8100,11520,128
131,0.363793,8100,11520,128
132,0.362338,8100,11520,128
133,0.364088,8100,11520,128
134,0.3636,8100,11520,128
135,0.363642,8100,11520,128
136,0.364264,8100,11520,128
137,0.36157,8100,11520,128
138,0.364671,8100,11520,128
139,0.363702,8100,11520,128
140,0.363206,8100,11520,128
141,0.364275,8100,11520,128
142,0.362843,8100,11520,128
143,0.363746,8100,11520,128
144,0.364687,8100,11520,128
145,0.361729,8100,11520,128
146,0.364694,8100,11520,128
147,0.364073,8100,11520,128
148,0.362299,8100,11520,128
149,0.364685,8100,11520,128
150,0.364195,8100,11520,128
151,0.362288,8100,11520,128
152,0.364681,8100,11520,128
153,0.363265,8100,11520,128
154,0.363874,8100,11520,128
155,0.363942,8100,11520,128
156,0.362359,8100,11520,128
157,0.364538,8100,11520,128
158,0.363981,8100,11520,128
159,0.363093,8100,11520,128
160,0.364793,8100,11520,128
161,0.362764,8100,11520,128
162,0.363931,8100,11520,128
163,0.363962,8100,11520,128
164,0.363241,8100,11520,128
165,0.363745,8100,11520,128
166,0.364087,8100,11520,128
167,0.363031,8100,11520,128
168,0.364396,8100,11520,128
169,0.364511,8100,11520,128
170,0.362785,8100,11520,128
171,0.364605,8100,11520,128
172,0.363484,8100,11520,128
173,0.363466,8100,11520,128
