This is the Log File of datestart Time 2022-04-01 18:40:32
g++ -g main_noCudaGraph.cpp -o executable -I/opt/spack/opt/spack/linux-debian10-x86_64/gcc-8.3.0/cuda-11.0.1-zf2qnnopvhmxs2my3de44qlqhedgwja7/include -L/opt/spack/opt/spack/linux-debian10-x86_64/gcc-8.3.0/cuda-11.0.1-zf2qnnopvhmxs2my3de44qlqhedgwja7/lib64 -lcublas -lcurand -fopenmp -lcudart
----- run GEMM 1280 x 1280, BS=64
Elapsed time for execution without CUDA graph:0.007494 (s)
Elapsed time for execution without CUDA graph:0.007316 (s)
Elapsed time for execution without CUDA graph:0.007314 (s)
Elapsed time for execution without CUDA graph:0.007313 (s)
Elapsed time for execution without CUDA graph:0.007316 (s)
Elapsed time for execution without CUDA graph:0.007318 (s)
Elapsed time for execution without CUDA graph:0.007313 (s)
Elapsed time for execution without CUDA graph:0.007312 (s)
Elapsed time for execution without CUDA graph:0.007310 (s)
Elapsed time for execution without CUDA graph:0.007316 (s)
Elapsed time for execution without CUDA graph:0.007314 (s)
Elapsed time for execution without CUDA graph:0.007313 (s)
Elapsed time for execution without CUDA graph:0.006881 (s)
Elapsed time for execution without CUDA graph:0.006298 (s)
Elapsed time for execution without CUDA graph:0.006298 (s)
Elapsed time for execution without CUDA graph:0.006297 (s)
Elapsed time for execution without CUDA graph:0.006295 (s)
Elapsed time for execution without CUDA graph:0.006295 (s)
Elapsed time for execution without CUDA graph:0.006297 (s)
Elapsed time for execution without CUDA graph:0.006295 (s)
Elapsed time for execution without CUDA graph:0.006299 (s)
Elapsed time for execution without CUDA graph:0.006294 (s)
Elapsed time for execution without CUDA graph:0.006296 (s)
Elapsed time for execution without CUDA graph:0.006300 (s)
Elapsed time for execution without CUDA graph:0.006293 (s)
Elapsed time for execution without CUDA graph:0.006295 (s)
Elapsed time for execution without CUDA graph:0.006297 (s)
Elapsed time for execution without CUDA graph:0.006298 (s)
Elapsed time for execution without CUDA graph:0.006297 (s)
Elapsed time for execution without CUDA graph:0.006294 (s)
Elapsed time for execution without CUDA graph:0.006292 (s)
Elapsed time for execution without CUDA graph:0.006293 (s)
Elapsed time for execution without CUDA graph:0.006292 (s)
Elapsed time for execution without CUDA graph:0.006296 (s)
Elapsed time for execution without CUDA graph:0.006298 (s)
Elapsed time for execution without CUDA graph:0.006292 (s)
Elapsed time for execution without CUDA graph:0.006297 (s)
Elapsed time for execution without CUDA graph:0.006294 (s)
Elapsed time for execution without CUDA graph:0.006298 (s)
Elapsed time for execution without CUDA graph:0.006293 (s)
Elapsed time for execution without CUDA graph:0.006294 (s)
Elapsed time for execution without CUDA graph:0.006294 (s)
Elapsed time for execution without CUDA graph:0.006299 (s)
Elapsed time for execution without CUDA graph:0.006293 (s)
Elapsed time for execution without CUDA graph:0.005193 (s)
Elapsed time for execution without CUDA graph:0.004647 (s)
Elapsed time for execution without CUDA graph:0.004645 (s)
Elapsed time for execution without CUDA graph:0.004638 (s)
Elapsed time for execution without CUDA graph:0.004633 (s)
Elapsed time for execution without CUDA graph:0.004641 (s)
Elapsed time for execution without CUDA graph:0.004653 (s)
Elapsed time for execution without CUDA graph:0.004661 (s)
Elapsed time for execution without CUDA graph:0.004645 (s)
Elapsed time for execution without CUDA graph:0.004641 (s)
