index,time,kernel,dimension,blocksize
0,0.114867,196,8960,640
0,0.133389,49,8960,1280
0,0.150046,784,8960,320
0,0.188077,1225,8960,256
0,0.199725,4900,8960,128
0,0.417438,19600,8960,64
1,0.105726,196,8960,640
1,0.118017,49,8960,1280
1,0.129621,784,8960,320
1,0.161178,1225,8960,256
1,0.170752,4900,8960,128
1,0.370654,19600,8960,64
2,0.0995731,196,8960,640
2,0.0998384,49,8960,1280
2,0.130169,784,8960,320
2,0.141212,1225,8960,256
2,0.170755,4900,8960,128
2,0.370634,19600,8960,64
3,0.0889961,49,8960,1280
3,0.0993353,196,8960,640
3,0.12971,784,8960,320
3,0.14164,1225,8960,256
3,0.170845,4900,8960,128
3,0.370685,19600,8960,64
4,0.088992,49,8960,1280
4,0.0991254,196,8960,640
4,0.129753,784,8960,320
4,0.141587,1225,8960,256
4,0.172482,4900,8960,128
4,0.370614,19600,8960,64
5,0.0889889,49,8960,1280
5,0.0991274,196,8960,640
5,0.130636,784,8960,320
5,0.141674,1225,8960,256
5,0.173322,4900,8960,128
5,0.370665,19600,8960,64
6,0.0889791,49,8960,1280
6,0.100059,196,8960,640
6,0.13104,784,8960,320
6,0.141594,1225,8960,256
6,0.174443,4900,8960,128
6,0.370686,19600,8960,64
7,0.0889794,49,8960,1280
7,0.100363,196,8960,640
7,0.133366,784,8960,320
7,0.144332,1225,8960,256
7,0.17385,4900,8960,128
7,0.370712,19600,8960,64
8,0.088978,49,8960,1280
8,0.0998521,196,8960,640
8,0.134185,784,8960,320
8,0.144933,1225,8960,256
8,0.172173,4900,8960,128
8,0.370685,19600,8960,64
9,0.0889759,49,8960,1280
9,0.100967,196,8960,640
9,0.132372,784,8960,320
9,0.141737,1225,8960,256
9,0.173579,4900,8960,128
9,0.370643,19600,8960,64
10,0.0889957,49,8960,1280
10,0.104911,196,8960,640
10,0.130825,784,8960,320
10,0.141669,1225,8960,256
10,0.17324,4900,8960,128
10,0.370663,19600,8960,64
11,0.0898347,49,8960,1280
11,0.102752,196,8960,640
11,0.131202,784,8960,320
11,0.141676,1225,8960,256
11,0.173219,4900,8960,128
11,0.370695,19600,8960,64
12,0.0946203,49,8960,1280
12,0.100762,196,8960,640
12,0.131161,784,8960,320
12,0.143227,1225,8960,256
12,0.173218,4900,8960,128
12,0.370702,19600,8960,64
13,0.0923884,49,8960,1280
13,0.0998531,196,8960,640
13,0.13118,784,8960,320
13,0.141935,1225,8960,256
