index,time,kernel,dimension,blocksizeoperation,cudagraph,
0,1.9597,1,24320,24320,launch,0
1,2.08473,1,24320,24320,launch,0
2,2.10037,1,24320,24320,launch,0
3,2.08691,1,24320,24320,launch,0
4,2.17389,1,24320,24320,launch,0
5,2.11141,1,24320,24320,launch,0
6,2.11605,1,24320,24320,launch,0
7,2.02828,1,24320,24320,launch,0
8,2.23978,1,24320,24320,launch,0
9,2.22506,1,24320,24320,launch,0
10,2.16754,1,24320,24320,launch,0
11,2.09221,1,24320,24320,launch,0
12,2.03988,1,24320,24320,launch,0
13,2.19049,1,24320,24320,launch,0
14,2.16449,1,24320,24320,launch,0
15,2.21698,1,24320,24320,launch,0
16,2.16041,1,24320,24320,launch,0
17,2.05077,1,24320,24320,launch,0
18,2.15625,1,24320,24320,launch,0
19,2.05342,1,24320,24320,launch,0
20,2.10318,1,24320,24320,launch,0
21,2.06586,1,24320,24320,launch,0
22,2.12556,1,24320,24320,launch,0
23,2.08691,1,24320,24320,launch,0
24,2.08239,1,24320,24320,launch,0
25,2.15045,1,24320,24320,launch,0
26,2.04277,1,24320,24320,launch,0
27,2.10615,1,24320,24320,launch,0
28,2.04639,1,24320,24320,launch,0
29,2.1965,1,24320,24320,launch,0
30,2.13673,1,24320,24320,launch,0
31,2.18178,1,24320,24320,launch,0
32,2.03884,1,24320,24320,launch,0
33,2.0209,1,24320,24320,launch,0
34,2.05417,1,24320,24320,launch,0
35,2.05411,1,24320,24320,launch,0
36,2.20744,1,24320,24320,launch,0
37,2.04884,1,24320,24320,launch,0
38,2.13255,1,24320,24320,launch,0
39,2.11848,1,24320,24320,launch,0
40,2.09877,1,24320,24320,launch,0
41,2.06434,1,24320,24320,launch,0
42,2.04734,1,24320,24320,launch,0
43,2.0608,1,24320,24320,launch,0
44,2.10039,1,24320,24320,launch,0
45,2.16049,1,24320,24320,launch,0
46,2.16501,1,24320,24320,launch,0
47,2.12905,1,24320,24320,launch,0
48,2.08948,1,24320,24320,launch,0
49,2.13843,1,24320,24320,launch,0
50,2.08307,1,24320,24320,launch,0
51,2.11366,1,24320,24320,launch,0
52,2.11609,1,24320,24320,launch,0
53,2.25686,1,24320,24320,launch,0
54,2.06892,1,24320,24320,launch,0
55,2.14347,1,24320,24320,launch,0
56,2.02777,1,24320,24320,launch,0
57,2.05996,1,24320,24320,launch,0
58,2.14532,1,24320,24320,launch,0
59,2.10172,1,24320,24320,launch,0
60,2.07875,1,24320,24320,launch,0
61,2.06649,1,24320,24320,launch,0
62,2.12143,1,24320,24320,launch,0
63,2.06325,1,24320,24320,launch,0
64,2.0885,1,24320,24320,launch,0
65,2.05201,1,24320,24320,launch,0
66,2.19228,1,24320,24320,launch,0
67,2.10315,1,24320,24320,launch,0
