This is the Log File of datestart Time 2022-04-14 14:40:56
----- run GEMM 1280 x 1280, BS=1280
Elapsed time for execution without CUDA graph:0.000562 (s)
Elapsed time for execution without CUDA graph:0.000472 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000493 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000472 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000471 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
Elapsed time for execution without CUDA graph:0.000470 (s)
----- run GEMM 2560 x 2560, BS=2560
Elapsed time for execution without CUDA graph:0.002779 (s)
Elapsed time for execution without CUDA graph:0.002840 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002696 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002694 (s)
Elapsed time for execution without CUDA graph:0.002695 (s)
Elapsed time for execution without CUDA graph:0.002620 (s)
Elapsed time for execution without CUDA graph:0.002100 (s)
Elapsed time for execution without CUDA graph:0.002101 (s)
Elapsed time for execution without CUDA graph:0.002100 (s)
Elapsed time for execution without CUDA graph:0.002101 (s)
Elapsed time for execution without CUDA graph:0.002101 (s)
Elapsed time for execution without CUDA graph:0.002101 (s)
Elapsed time for execution without CUDA graph:0.002100 (s)
Elapsed time for execution without CUDA graph:0.002100 (s)
Elapsed time for execution without CUDA graph:0.002101 (s)
Elapsed time for execution without CUDA graph:0.002100 (s)
Elapsed time for execution without CUDA graph:0.002101 (s)
Elapsed time for execution without CUDA graph:0.002100 (s)
Elapsed time for execution without CUDA graph:0.002100 (s)
Elapsed time for execution without CUDA graph:0.002100 (s)
Elapsed time for execution without CUDA graph:0.002101 (s)
Elapsed time for execution without CUDA graph:0.002101 (s)
Elapsed time for execution without CUDA graph:0.002101 (s)
Elapsed time for execution without CUDA graph:0.002101 (s)
Elapsed time for execution without CUDA graph:0.002101 (s)
Elapsed time for execution without CUDA graph:0.002101 (s)
Elapsed time for execution without CUDA graph:0.002100 (s)
Elapsed time for execution without CUDA graph:0.002100 (s)
Elapsed time for execution without CUDA graph:0.002100 (s)
Elapsed time for execution without CUDA graph:0.002100 (s)
Elapsed time for execution without CUDA graph:0.002100 (s)
Elapsed time for execution without CUDA graph:0.002102 (s)
Elapsed time for execution without CUDA graph:0.002100 (s)
Elapsed time for execution without CUDA graph:0.002100 (s)
Elapsed time for execution without CUDA graph:0.002119 (s)
Elapsed time for execution without CUDA graph:0.002126 (s)
Elapsed time for execution without CUDA graph:0.002127 (s)
Elapsed time for execution without CUDA graph:0.002126 (s)
Elapsed time for execution without CUDA graph:0.002127 (s)
Elapsed time for execution without CUDA graph:0.002126 (s)
Elapsed time for execution without CUDA graph:0.002126 (s)
Elapsed time for execution without CUDA graph:0.002126 (s)
Elapsed time for execution without CUDA graph:0.002126 (s)
Elapsed time for execution without CUDA graph:0.002127 (s)
Elapsed time for execution without CUDA graph:0.002126 (s)
Elapsed time for execution without CUDA graph:0.002127 (s)
Elapsed time for execution without CUDA graph:0.002127 (s)
Elapsed time for execution without CUDA graph:0.002126 (s)
Elapsed time for execution without CUDA graph:0.002126 (s)
Elapsed time for execution without CUDA graph:0.002126 (s)
Elapsed time for execution without CUDA graph:0.002127 (s)
Elapsed time for execution without CUDA graph:0.002126 (s)
Elapsed time for execution without CUDA graph:0.002127 (s)
