index,time,kernel,dimension,blocksizeoperation,cudagraph,
0,2.57591,32400,23040,128,launch,0
1,2.58915,32400,23040,128,launch,0
2,2.58962,32400,23040,128,launch,0
3,2.59218,32400,23040,128,launch,0
4,2.59329,32400,23040,128,launch,0
5,2.59729,32400,23040,128,launch,0
6,2.59846,32400,23040,128,launch,0
7,2.60221,32400,23040,128,launch,0
8,2.60235,32400,23040,128,launch,0
9,2.60134,32400,23040,128,launch,0
10,2.60626,32400,23040,128,launch,0
11,2.60501,32400,23040,128,launch,0
12,2.60876,32400,23040,128,launch,0
13,2.61071,32400,23040,128,launch,0
14,2.61181,32400,23040,128,launch,0
15,2.61265,32400,23040,128,launch,0
16,2.61531,32400,23040,128,launch,0
17,2.61287,32400,23040,128,launch,0
18,2.61562,32400,23040,128,launch,0
19,2.615,32400,23040,128,launch,0
20,2.61662,32400,23040,128,launch,0
21,2.61831,32400,23040,128,launch,0
22,2.61527,32400,23040,128,launch,0
23,2.61991,32400,23040,128,launch,0
24,2.61803,32400,23040,128,launch,0
25,2.62159,32400,23040,128,launch,0
26,2.62035,32400,23040,128,launch,0
27,2.61892,32400,23040,128,launch,0
28,2.62231,32400,23040,128,launch,0
29,2.621,32400,23040,128,launch,0
30,2.62173,32400,23040,128,launch,0
31,2.62229,32400,23040,128,launch,0
32,2.62166,32400,23040,128,launch,0
33,2.62561,32400,23040,128,launch,0
34,2.62101,32400,23040,128,launch,0
35,2.62456,32400,23040,128,launch,0
36,2.62243,32400,23040,128,launch,0
37,2.62293,32400,23040,128,launch,0
38,2.62387,32400,23040,128,launch,0
39,2.62355,32400,23040,128,launch,0
40,2.623,32400,23040,128,launch,0
41,2.62299,32400,23040,128,launch,0
42,2.62497,32400,23040,128,launch,0
43,2.62376,32400,23040,128,launch,0
44,2.62498,32400,23040,128,launch,0
45,2.62303,32400,23040,128,launch,0
46,2.62595,32400,23040,128,launch,0
47,2.62412,32400,23040,128,launch,0
48,2.62484,32400,23040,128,launch,0
49,2.6231,32400,23040,128,launch,0
50,2.62409,32400,23040,128,launch,0
51,2.62419,32400,23040,128,launch,0
52,2.62476,32400,23040,128,launch,0
53,2.62269,32400,23040,128,launch,0
54,2.62465,32400,23040,128,launch,0
55,2.62348,32400,23040,128,launch,0
56,2.62479,32400,23040,128,launch,0
57,2.62216,32400,23040,128,launch,0
58,2.62488,32400,23040,128,launch,0
59,2.62284,32400,23040,128,launch,0
60,2.62279,32400,23040,128,launch,0
61,2.6243,32400,23040,128,launch,0
62,2.62227,32400,23040,128,launch,0
63,2.62339,32400,23040,128,launch,0
64,2.62298,32400,23040,128,launch,0
65,2.6237,32400,23040,128,launch,0
66,2.6208,32400,23040,128,launch,0
67,2.62299,32400,23040,128,launch,0
68,2.62244,32400,23040,128,launch,0
69,2.62122,32400,23040,128,launch,0
70,2.62376,32400,23040,128,launch,0
71,2.62089,32400,23040,128,launch,0
72,2.62436,32400,23040,128,launch,0
73,2.62273,32400,23040,128,launch,0
74,2.62092,32400,23040,128,launch,0
75,2.62427,32400,23040,128,launch,0
76,2.62152,32400,23040,128,launch,0
77,2.62115,32400,23040,128,launch,0
78,2.6212,32400,23040,128,launch,0
79,2.62172,32400,23040,128,launch,0
80,2.62039,32400,23040,128,launch,0
81,2.62053,32400,23040,128,launch,0
82,2.62225,32400,23040,128,launch,0
83,2.6212,32400,23040,128,launch,0
84,2.61998,32400,23040,128,launch,0
85,2.62212,32400,23040,128,launch,0
86,2.62295,32400,23040,128,launch,0
87,2.62165,32400,23040,128,launch,0
88,2.62086,32400,23040,128,launch,0
89,2.6218,32400,23040,128,launch,0
90,2.62181,32400,23040,128,launch,0
91,2.62295,32400,23040,128,launch,0
92,2.62154,32400,23040,128,launch,0
93,2.62067,32400,23040,128,launch,0
94,2.62356,32400,23040,128,launch,0
95,2.62294,32400,23040,128,launch,0
96,2.62172,32400,23040,128,launch,0
97,2.62155,32400,23040,128,launch,0
98,2.62279,32400,23040,128,launch,0
99,2.62242,32400,23040,128,launch,0
100,2.62264,32400,23040,128,launch,0
101,2.62179,32400,23040,128,launch,0
102,2.62098,32400,23040,128,launch,0
103,2.6233,32400,23040,128,launch,0
104,2.62172,32400,23040,128,launch,0
105,2.62271,32400,23040,128,launch,0
106,2.62121,32400,23040,128,launch,0
107,2.62114,32400,23040,128,launch,0
108,2.62417,32400,23040,128,launch,0
109,2.62025,32400,23040,128,launch,0
110,2.62167,32400,23040,128,launch,0
111,2.62254,32400,23040,128,launch,0
112,2.62184,32400,23040,128,launch,0
113,2.62204,32400,23040,128,launch,0
114,2.6229,32400,23040,128,launch,0
115,2.62175,32400,23040,128,launch,0
116,2.62116,32400,23040,128,launch,0
117,2.624,32400,23040,128,launch,0
118,2.62055,32400,23040,128,launch,0
119,2.62324,32400,23040,128,launch,0
120,2.62182,32400,23040,128,launch,0
121,2.62133,32400,23040,128,launch,0
122,2.62349,32400,23040,128,launch,0
123,2.62087,32400,23040,128,launch,0
124,2.62172,32400,23040,128,launch,0
125,2.62268,32400,23040,128,launch,0
126,2.6205,32400,23040,128,launch,0
127,2.62303,32400,23040,128,launch,0
128,2.62042,32400,23040,128,launch,0
129,2.62202,32400,23040,128,launch,0
130,2.62077,32400,23040,128,launch,0
131,2.62281,32400,23040,128,launch,0
132,2.62265,32400,23040,128,launch,0
133,2.62145,32400,23040,128,launch,0
134,2.62201,32400,23040,128,launch,0
135,2.62283,32400,23040,128,launch,0
136,2.62104,32400,23040,128,launch,0
137,2.62296,32400,23040,128,launch,0
138,2.62135,32400,23040,128,launch,0
139,2.6214,32400,23040,128,launch,0
140,2.62284,32400,23040,128,launch,0
141,2.62189,32400,23040,128,launch,0
142,2.62086,32400,23040,128,launch,0
143,2.62291,32400,23040,128,launch,0
144,2.62138,32400,23040,128,launch,0
145,2.62313,32400,23040,128,launch,0
146,2.62156,32400,23040,128,launch,0
147,2.62191,32400,23040,128,launch,0
148,2.62252,32400,23040,128,launch,0
149,2.62146,32400,23040,128,launch,0
150,2.62292,32400,23040,128,launch,0
151,2.62212,32400,23040,128,launch,0
152,2.6207,32400,23040,128,launch,0
153,2.62368,32400,23040,128,launch,0
154,2.62158,32400,23040,128,launch,0
155,2.62112,32400,23040,128,launch,0
156,2.62231,32400,23040,128,launch,0
157,2.62142,32400,23040,128,launch,0
158,2.6207,32400,23040,128,launch,0
159,2.62182,32400,23040,128,launch,0
160,2.622,32400,23040,128,launch,0
161,2.62176,32400,23040,128,launch,0
162,2.62091,32400,23040,128,launch,0
163,2.62215,32400,23040,128,launch,0
164,2.62066,32400,23040,128,launch,0
165,2.62266,32400,23040,128,launch,0
166,2.62203,32400,23040,128,launch,0
167,2.62155,32400,23040,128,launch,0
168,2.62239,32400,23040,128,launch,0
169,2.62179,32400,23040,128,launch,0
170,2.62121,32400,23040,128,launch,0
171,2.62141,32400,23040,128,launch,0
172,2.6217,32400,23040,128,launch,0
173,2.62182,32400,23040,128,launch,0
174,2.62273,32400,23040,128,launch,0
175,2.62215,32400,23040,128,launch,0
176,2.62022,32400,23040,128,launch,0
177,2.62164,32400,23040,128,launch,0
178,2.61985,32400,23040,128,launch,0
179,2.6227,32400,23040,128,launch,0
180,2.62143,32400,23040,128,launch,0
181,2.62171,32400,23040,128,launch,0
182,2.62204,32400,23040,128,launch,0
183,2.62058,32400,23040,128,launch,0
184,2.62124,32400,23040,128,launch,0
185,2.6207,32400,23040,128,launch,0
186,2.62272,32400,23040,128,launch,0
187,2.62139,32400,23040,128,launch,0
188,2.62097,32400,23040,128,launch,0
189,2.62349,32400,23040,128,launch,0
190,2.62084,32400,23040,128,launch,0
191,2.62208,32400,23040,128,launch,0
192,2.62197,32400,23040,128,launch,0
193,2.62236,32400,23040,128,launch,0
194,2.62181,32400,23040,128,launch,0
195,2.6209,32400,23040,128,launch,0
196,2.62376,32400,23040,128,launch,0
197,2.62129,32400,23040,128,launch,0
198,2.62222,32400,23040,128,launch,0
199,2.62192,32400,23040,128,launch,0
