index,time,kernel,dimension,blocksize,operation,cudagraph
0,6.0342,9,34560,11520,launch,0
1,6.2364,9,34560,11520,launch,0
2,6.19745,9,34560,11520,launch,0
3,5.63092,9,34560,11520,launch,0
4,6.10325,9,34560,11520,launch,0
5,6.50708,9,34560,11520,launch,0
6,6.48019,9,34560,11520,launch,0
7,6.08196,9,34560,11520,launch,0
8,5.97942,9,34560,11520,launch,0
9,6.30194,9,34560,11520,launch,0
10,6.13079,9,34560,11520,launch,0
11,6.07235,9,34560,11520,launch,0
12,6.23186,9,34560,11520,launch,0
13,6.18186,9,34560,11520,launch,0
14,6.41183,9,34560,11520,launch,0
15,6.21171,9,34560,11520,launch,0
16,6.78922,9,34560,11520,launch,0
17,5.79196,9,34560,11520,launch,0
18,5.93514,9,34560,11520,launch,0
19,6.31947,9,34560,11520,launch,0
20,6.0981,9,34560,11520,launch,0
21,6.10841,9,34560,11520,launch,0
22,5.78463,9,34560,11520,launch,0
23,6.00848,9,34560,11520,launch,0
24,6.05027,9,34560,11520,launch,0
25,5.84125,9,34560,11520,launch,0
26,5.81137,9,34560,11520,launch,0
27,6.30189,9,34560,11520,launch,0
28,6.03877,9,34560,11520,launch,0
29,6.18457,9,34560,11520,launch,0
30,5.99248,9,34560,11520,launch,0
31,6.27006,9,34560,11520,launch,0
32,6.35,9,34560,11520,launch,0
33,6.33052,9,34560,11520,launch,0
34,5.79092,9,34560,11520,launch,0
35,6.08275,9,34560,11520,launch,0
36,6.10669,9,34560,11520,launch,0
37,5.99275,9,34560,11520,launch,0
38,6.34069,9,34560,11520,launch,0
39,6.29277,9,34560,11520,launch,0
40,5.96866,9,34560,11520,launch,0
41,6.44602,9,34560,11520,launch,0
42,6.55216,9,34560,11520,launch,0
43,6.00513,9,34560,11520,launch,0
44,6.20432,9,34560,11520,launch,0
45,6.5523,9,34560,11520,launch,0
46,5.77754,9,34560,11520,launch,0
47,6.1927,9,34560,11520,launch,0
48,6.50186,9,34560,11520,launch,0
49,6.30631,9,34560,11520,launch,0
50,6.27018,9,34560,11520,launch,0
51,5.97109,9,34560,11520,launch,0
52,6.81785,9,34560,11520,launch,0
53,6.15213,9,34560,11520,launch,0
54,6.29257,9,34560,11520,launch,0
55,6.14177,9,34560,11520,launch,0
56,6.55201,9,34560,11520,launch,0
57,5.88366,9,34560,11520,launch,0
58,6.46445,9,34560,11520,launch,0
59,6.59145,9,34560,11520,launch,0
60,5.93994,9,34560,11520,launch,0
61,6.48256,9,34560,11520,launch,0
62,6.98598,9,34560,11520,launch,0
63,6.82221,9,34560,11520,launch,0
64,6.84567,9,34560,11520,launch,0
65,6.87284,9,34560,11520,launch,0
66,6.58212,9,34560,11520,launch,0
67,6.71432,9,34560,11520,launch,0
68,6.37697,9,34560,11520,launch,0
69,6.72573,9,34560,11520,launch,0
70,7.0879,9,34560,11520,launch,0
71,6.76936,9,34560,11520,launch,0
72,6.82044,9,34560,11520,launch,0
73,7.22465,9,34560,11520,launch,0
74,7.03245,9,34560,11520,launch,0
75,6.76496,9,34560,11520,launch,0
