time,kernel,dimension,blocksize,operation,
0,0.418177,3600,19200,1280,graphApiYesDependency,1
1,0.0278713,3600,19200,1280,graphApiYesDependency,1
2,0.0290358,3600,19200,1280,graphApiYesDependency,1
3,0.0293844,3600,19200,1280,graphApiYesDependency,1
4,0.0297482,3600,19200,1280,graphApiYesDependency,1
5,0.0295741,3600,19200,1280,graphApiYesDependency,1
6,0.0301194,3600,19200,1280,graphApiYesDependency,1
7,0.029937,3600,19200,1280,graphApiYesDependency,1
8,0.0300334,3600,19200,1280,graphApiYesDependency,1
9,0.0299017,3600,19200,1280,graphApiYesDependency,1
