time,kernel,dimension,blocksize,operation,
0,1.02086,27900,19200,640,launch,1
1,1.02162,27900,19200,640,launch,1
2,1.02211,27900,19200,640,launch,1
3,1.02296,27900,19200,640,launch,1
4,1.02249,27900,19200,640,launch,1
5,1.02357,27900,19200,640,launch,1
6,1.02462,27900,19200,640,launch,1
7,1.02365,27900,19200,640,launch,1
8,1.02609,27900,19200,640,launch,1
9,1.02503,27900,19200,640,launch,1
10,1.02609,27900,19200,640,launch,1
11,1.02738,27900,19200,640,launch,1
12,1.02747,27900,19200,640,launch,1
13,1.02685,27900,19200,640,launch,1
14,1.01909,27900,19200,640,launch,1
15,1.02117,27900,19200,640,launch,1
16,1.021,27900,19200,640,launch,1
17,1.02062,27900,19200,640,launch,1
18,1.02187,27900,19200,640,launch,1
19,1.02164,27900,19200,640,launch,1
20,1.0231,27900,19200,640,launch,1
21,1.02254,27900,19200,640,launch,1
22,1.02301,27900,19200,640,launch,1
23,1.02323,27900,19200,640,launch,1
24,1.0235,27900,19200,640,launch,1
25,1.02366,27900,19200,640,launch,1
26,1.0234,27900,19200,640,launch,1
27,1.02377,27900,19200,640,launch,1
28,1.02431,27900,19200,640,launch,1
29,1.0253,27900,19200,640,launch,1
30,1.02485,27900,19200,640,launch,1
31,1.02538,27900,19200,640,launch,1
32,1.02593,27900,19200,640,launch,1
33,1.02507,27900,19200,640,launch,1
34,1.02546,27900,19200,640,launch,1
35,1.02729,27900,19200,640,launch,1
36,1.0264,27900,19200,640,launch,1
37,1.02692,27900,19200,640,launch,1
38,1.02656,27900,19200,640,launch,1
39,1.0283,27900,19200,640,launch,1
40,1.02631,27900,19200,640,launch,1
41,1.0268,27900,19200,640,launch,1
42,1.0274,27900,19200,640,launch,1
43,1.02665,27900,19200,640,launch,1
44,1.02825,27900,19200,640,launch,1
45,1.02858,27900,19200,640,launch,1
46,1.02819,27900,19200,640,launch,1
47,1.02888,27900,19200,640,launch,1
48,1.02872,27900,19200,640,launch,1
49,1.0289,27900,19200,640,launch,1
50,1.02925,27900,19200,640,launch,1
51,1.02918,27900,19200,640,launch,1
52,1.02918,27900,19200,640,launch,1
53,1.02918,27900,19200,640,launch,1
54,1.02921,27900,19200,640,launch,1
55,1.02924,27900,19200,640,launch,1
56,1.03038,27900,19200,640,launch,1
57,1.03046,27900,19200,640,launch,1
58,1.03104,27900,19200,640,launch,1
59,1.03053,27900,19200,640,launch,1
60,1.04127,27900,19200,640,launch,1
61,1.02948,27900,19200,640,launch,1
62,1.02862,27900,19200,640,launch,1
63,1.02992,27900,19200,640,launch,1
64,1.0303,27900,19200,640,launch,1
65,1.02878,27900,19200,640,launch,1
66,1.03013,27900,19200,640,launch,1
67,1.03091,27900,19200,640,launch,1
68,1.0304,27900,19200,640,launch,1
69,1.03037,27900,19200,640,launch,1
70,1.03115,27900,19200,640,launch,1
71,1.03114,27900,19200,640,launch,1
72,1.03172,27900,19200,640,launch,1
73,1.03114,27900,19200,640,launch,1
74,1.03222,27900,19200,640,launch,1
75,1.0313,27900,19200,640,launch,1
76,1.03237,27900,19200,640,launch,1
77,1.03226,27900,19200,640,launch,1
78,1.03167,27900,19200,640,launch,1
79,1.03229,27900,19200,640,launch,1
80,1.03131,27900,19200,640,launch,1
81,1.03188,27900,19200,640,launch,1
