time,kernel,dimension,blocksize,operation,
0,0.0854335,9702,26880,1280,graphApiYesDependency,1
1,0.0959406,9702,26880,1280,graphApiYesDependency,1
2,0.095323,9702,26880,1280,graphApiYesDependency,1
3,0.097493,9702,26880,1280,graphApiYesDependency,1
4,0.0999883,9702,26880,1280,graphApiYesDependency,1
5,0.0996741,9702,26880,1280,graphApiYesDependency,1
6,0.100707,9702,26880,1280,graphApiYesDependency,1
7,0.104841,9702,26880,1280,graphApiYesDependency,1
8,0.104061,9702,26880,1280,graphApiYesDependency,1
9,0.105791,9702,26880,1280,graphApiYesDependency,1
